Dosis;PTV;Recto;Bufeta
2388;100;49,5027;58,9836
2394;100;49,3136;58,8456
2400;100;49,1229;58,7114
2406;100;48,9403;58,5762
2412;100;48,7486;58,4337
2418;100;48,5786;58,2932
2424;100;48,3951;58,1573
2430;100;48,198;58,0216
2436;100;48,0132;57,8842
2442;100;47,8235;57,749
2448;100;47,6393;57,6146
2454;100;47,4499;57,4779
2460;100;47,2521;57,342
2466;100;47,0457;57,2066
2472;100;46,8562;57,0737
2478;100;46,6556;56,938
2484;100;46,4608;56,8053
2490;100;46,272;56,6693
2496;100;46,073;56,5332
2502;100;45,872;56,4021
2508;100;45,6728;56,2737
2514;100;45,4827;56,1443
2520;100;45,2943;56,0028
2526;100;45,1146;55,8724
2532;100;44,9283;55,7416
2538;100;44,7343;55,6118
2544;100;44,5416;55,476
2550;100;44,3467;55,3482
2556;100;44,1627;55,218
2562;100;43,9732;55,0898
2568;100;43,7948;54,9544
2574;100;43,608;54,8244
2580;100;43,4295;54,6998
2586;100;43,237;54,5747
2592;100;43,0535;54,4345
2598;100;42,8556;54,3066
2604;100;42,6579;54,1825
2610;100;42,4682;54,0577
2616;100;42,2838;53,9292
2622;100;42,0985;53,8006
2628;100;41,9115;53,6673
2634;100;41,7241;53,5427
2640;100;41,5432;53,416
2646;100;41,3593;53,2893
2652;100;41,1915;53,1619
2658;100;41,0186;53,0347
2664;100;40,8471;52,9051
2670;100;40,659;52,7795
2676;100;40,4676;52,6532
2682;100;40,2743;52,528
2688;100;40,0949;52,4027
2694;100;39,9225;52,2774
2700;100;39,7518;52,1488
2706;100;39,5864;52,0199
2712;100;39,4091;51,8942
2718;100;39,2244;51,7698
2724;100;39,0556;51,6452
2730;100;38,8872;51,5177
2736;100;38,725;51,3905
2742;100;38,5614;51,264
2748;100;38,3958;51,1371
2754;100;38,2113;51,0119
2760;100;38,0451;50,886
2766;100;37,8814;50,7585
2772;100;37,7194;50,6319
2778;100;37,5548;50,507
2784;100;37,3888;50,3809
2790;100;37,2235;50,2549
2796;100;37,057;50,1273
2802;100;36,8955;50,0008
2808;100;36,7243;49,8744
2814;100;36,5623;49,7468
2820;100;36,3981;49,6199
2826;100;36,2218;49,4928
2832;100;36,0428;49,3667
2838;100;35,8713;49,24
2844;100;35,7124;49,1143
2850;100;35,5465;48,9885
2856;100;35,3877;48,8613
2862;100;35,2289;48,7343
2868;100;35,0721;48,6076
2874;100;34,9135;48,4814
2880;100;34,7551;48,3561
2886;100;34,6071;48,2305
2892;100;34,4482;48,1049
2898;100;34,2832;47,9765
2904;100;34,1267;47,8502
2910;100;33,9825;47,724
2916;100;33,8317;47,5974
2922;100;33,6789;47,4708
2928;100;33,5342;47,3454
2934;100;33,3694;47,2184
2940;100;33,2094;47,0911
2946;100;33,0549;46,9644
2952;100;32,9058;46,8388
2958;100;32,7601;46,7147
2964;100;32,6173;46,5853
2970;100;32,4854;46,4584
2976;100;32,3447;46,3313
2982;100;32,202;46,205
2988;100;32,0563;46,08
2994;100;31,895;45,9551
3000;100;31,7408;45,831
3006;100;31,5851;45,7077
3012;100;31,4331;45,5846
3018;100;31,2919;45,4604
3024;100;31,1485;45,336
3030;100;31,01;45,212
3036;100;30,8729;45,0854
3042;100;30,7391;44,9623
3048;100;30,598;44,8383
3054;100;30,4548;44,7135
3060;100;30,3174;44,5913
3066;100;30,1713;44,4691
3072;100;30,025;44,3462
3078;100;29,8888;44,2202
3084;100;29,7548;44,097
3090;100;29,6202;43,9737
3096;100;29,4954;43,8505
3102;100;29,369;43,7288
3108;100;29,2407;43,6086
3114;100;29,1098;43,4878
